state_code,Wave,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours
AK,25,6.459101321691173,3.8078148488646777,6.063330207209448,5.916169745872396,5.068757790039103,2.877323233664519,3.487321145959201,5.5440173934210275,5.536679095372671,6.529085087528316,5.707015328749337,6.326814436063111,4.575578851289648,3.8553111638128423,2.173731843345245
AL,25,5.530743661189002,4.26499285393122,4.819210066352306,5.199546449086452,4.746484001865706,4.160000613005139,2.1412258343598576,4.883921401206075,5.3901483517142115,5.658986990797405,5.2766063228812206,5.732534044560757,3.49160618318266,2.9431575662806493,2.2219326412980265
AR,25,6.030216784018475,2.733250004738279,5.648461945647894,4.9028997161765515,4.29115807614016,3.6622863302327837,1.3144429139754747,4.834884605630828,5.332034816408413,6.010529630992484,4.832435435604803,6.079482766306657,4.963453148756481,2.810029093895749,2.1618806907469947
AZ,25,5.747654220649131,3.3877764157273926,5.349517754502767,5.026172317232452,4.372501161640233,2.5600578834064036,3.2136294998068844,4.885350183096223,5.339885808999588,5.698540048977543,5.417601742208082,5.763039370461351,3.7726724571896146,3.214256441177054,2.2694743328708533
CA,25,3.9097366062004455,2.403702072252029,3.374086864894862,3.1953437141426084,2.803327935467765,2.534545499427848,2.271526539022762,3.880303695940631,3.971615840322953,3.8175209993366943,3.9863061211989113,3.9782819891851404,2.19811862129726,2.0781164293024994,1.2724939338980576
CO,25,5.196395815497999,3.808404901139201,4.899490126486295,5.050526817309581,4.2463271361416535,2.227732892111059,2.774565802433664,3.998312761125236,4.389888014116863,5.188000189707267,4.0789772655859124,5.090581907487586,3.7545514196809866,2.834226702321332,2.5142927470185237
CT,25,5.863502564283734,4.186131392905493,5.361432949217859,5.272972713884806,4.425914889933555,3.2793915254205537,2.9138294391004886,5.127804709659073,5.211311720749503,5.8185932100652975,5.415088546415946,5.805191126178588,4.530412478013138,3.7588728768257202,2.3639531740848727
DC,25,5.804858914188351,4.819408950843726,5.166651575159865,5.378404731001304,3.883761327810355,3.367698224562991,4.996802439463606,5.543158843883643,5.697063899415561,5.481819429560599,5.910359334785632,5.872824337913581,4.181570650100008,3.9204460250326654,2.2871630030016012
DE,25,6.323744768793563,4.664811158409738,5.931859015748133,5.7760465523862194,4.598182608016977,3.2690336431297444,2.789171663222455,5.106481911127069,6.052890568671424,5.790027504919632,5.876031101031068,6.367022640532876,4.201034407108319,2.7074297078846774,1.3134298997001959
FL,25,4.319967536180563,3.147121507526681,3.90017667995116,3.8889459748164046,2.8353501414731688,2.5035253613039545,1.5633224553713827,3.996820008173479,3.978361215983456,4.312320774224894,3.9641170377600146,4.391886225868975,2.47092467781561,2.3743639245445247,1.7167708184599282
GA,25,4.943572122029309,3.2887111209413633,4.9408052753863645,4.816452699343783,3.8616793392121784,3.6094516820285376,1.5324616803619906,4.55655323016704,4.700360374110775,4.870475758675279,4.630639007031856,5.00372694972852,3.4233271339363833,2.4561602000558986,2.1962655310047574
HI,25,6.966880254347449,4.881849559241736,6.188260571189038,6.033008407617714,5.443933668878624,4.9111150047729195,3.370894187340937,6.2703447318248875,6.796860234126,6.475138542631075,6.867430359657718,6.895348422379012,4.031609917711842,5.046763861565977,2.270110019747225
IA,25,5.9349492031486,3.0490361947161984,5.755547692082411,5.596133867583082,4.80069512520724,3.929687733475955,1.5636613202597156,4.487929228179758,4.892816957446106,5.99998539430415,4.647696767694239,5.610858482774988,4.608613718502551,3.3632365197624243,2.9874133529991838
ID,25,5.891159965004897,4.100912936963768,5.2952432398624545,5.176087756207145,3.5538000146135595,3.414088633540199,1.009295147985489,4.3523277702243055,4.873284367564688,5.871886528977706,3.1704810342244953,5.8239266546488375,4.554398868069903,3.429471919982619,2.273847863523428
