state_code,Wave,visit_1,visit_1_se,visit_2,visit_2_se,visit_4,visit_4_se,visit_8,visit_8_se,visit_9,visit_9_se,visit_10,visit_10_se,visit_12,visit_12_se,cov_beh_1,cov_beh_1_se,cov_beh_2,cov_beh_2_se,cov_beh_3,cov_beh_3_se,cov_beh_5,cov_beh_5_se,event_at_least_1,event_at_least_1_se,event_5_10,event_5_10_se,event_11_50,event_11_50_se,event_50,event_50_se,Start_Date,End_Date
GA,1,24.073123254532224,2.3152687169935353,2.177244639821004,0.9546690336270272,10.378930802370318,1.8055892294483369,7.203055651553764,1.4875934518717462,5.845721730459755,1.511028741668323,1.4367111727009325,0.8049176604488151,1.8521203642258788,0.5887681171052256,69.29700610588507,2.6056726894164557,75.30354779972068,2.422988313104392,81.37714558251471,2.1269466526087326,55.666986555485146,2.776201148374142,25.605623499865693,2.529492390767496,6.788783698501273,1.4739810033547134,0.8454144834573879,0.4229373438260239,1.8791660306174507,0.893742065440432,2020-04-17T13:28:31Z,2020-04-25T10:47:20Z
HI,1,30.330576899314917,3.3293344689493827,0,0,7.342246284769466,1.7073405866558158,3.914304245594173,1.2248920718304923,5.0266113630626235,1.3734319082012674,1.3099472700864412,0.6764434705817013,1.885552034197345,0.8838177093062788,73.45997931925233,3.0523350647154777,81.41544836270538,2.631535322952756,85.31619384357134,2.256514905109146,76.0933419919742,3.072322756818914,26.639616433746234,3.1110390043088194,7.537867373865012,1.7162154046486693,1.7080767057500383,0.8631749482525554,1.385651736199457,1.3704013320838613,2020-04-16T23:04:15Z,2020-04-30T16:03:46Z
IA,1,31.21580093961065,2.636748584843696,1.035115454359315,0.6143544917117976,8.220014452184511,1.805734873081909,3.61806791451233,0.7690402037131211,8.009993849503564,2.044577628347239,0.6845583630113931,0.4340933691003252,0.6089010408560176,0.3579790834086123,61.281546516852245,2.7707395040345317,69.06629657311211,2.549982904403085,74.98841285976843,2.4455621926192426,37.23548595560155,2.956317182352881,31.811048025098405,2.749479070208057,6.8673654967912,1.8389070076673304,1.157462568383664,0.46423273672282467,1.1054368065579503,0.5218913426209704,2020-04-17T11:49:30Z,2020-04-24T04:39:10Z
ID,1,34.13063305489635,3.141758129944915,1.1554786043281944,0.5842098649110653,11.379267102489424,1.99275135832575,7.2545705576047,1.7359923548532015,8.662509088756964,2.680258031617982,1.5429053886614084,0.9372325371439219,2.406709087113762,1.7915640574408223,56.77207370798205,3.350723181055984,68.81993287747957,3.0772681802963935,74.23024722054161,2.8876317111414904,31.008855741639668,3.2993100787642957,30.487456741146445,3.164816372414989,5.578133157299976,1.604395883216903,3.7690473573589074,1.8902771135427432,0.702979446897185,0.35557568364317654,2020-04-16T23:33:44Z,2020-04-30T17:34:36Z
IL,1,21.35746891181203,2.1958328326312575,2.1024443569331592,0.8258784880417943,5.665064713877867,1.3565281075679205,5.499822378604406,1.1880004689496488,3.4878143421342127,0.9483294590006587,0.9579185631465873,0.5685428021109838,2.4657240211550895,0.7674562980433169,69.69765511665526,2.5113707852261626,75.41891187629575,2.3038015583960183,81.12134562534891,2.250409721551517,56.63206635796162,2.700918149531886,21.150140733856055,2.192110351658048,3.4886050404521614,0.8468547366654715,1.986467890942612,0.7060077585627027,0.5268658566733772,0.27970191283331647,2020-04-17T13:24:11Z,2020-04-26T22:39:42Z
IN,1,28.0881757917464,2.5616103981253415,0.9455271379280914,0.4549255442099709,8.182657042816054,1.4543960062114063,6.5558756894225825,1.3284250494197465,3.459069048312171,0.8037386504274522,0.9525618350738927,0.4516939655241666,1.8399646213883913,0.7787093068908372,69.60306416303517,2.5965473902478076,76.37989589819685,2.3563371549473078,82.2466846928229,2.0194607707942045,53.57604984228561,2.8525986839283077,25.6339187387165,2.462630347888552,6.0843520104762865,1.4775844406284138,1.390315374914443,0.6004721082065562,1.3175777885443605,0.7592356326019918,2020-04-17T12:46:55Z,2020-04-22T16:05:49Z
KS,1,26.212964990834735,2.4569226293822295,1.006466280757997,0.7220581175129721,8.159638341175452,1.548590683878887,5.707592101279987,1.210764743127069,4.685814075246738,1.0951156893377012,0.488379336719181,0.24806719794572646,0.8091343842373995,0.4467886218916763,70.18060553615386,2.521129674035572,72.92456795863501,2.4974222805536983,81.57772634152572,2.1009055484768777,49.536238538117736,2.877577737665925,32.94704015291745,2.758496397801496,4.565761894025958,1.10508131113215,2.43802583116834,0.8937708209641231,0.6669665627842383,0.3561501567208424,2020-04-17T11:49:56Z,2020-04-25T13:18:25Z
KY,1,28.852800969631254,2.721827161556361,1.98853617208992,1.0642382712534664,6.306727095466822,1.3497653732959647,3.7646288131622576,0.8564271904418771,4.109523545261264,1.0072768636363554,2.687000278137629,1.0787409150549696,1.047146728513963,0.5436684212071958,67.31223106659533,2.8081802413674457,71.06986432846948,2.8981258457169883,80.35760380061512,2.4064780349902835,45.37249443789386,2.963781141234114,28.744340311551593,2.6550700068958455,6.474160331952697,1.4823962485236537,1.6118238032915095,0.571354375441197,0.17858586862985,0.17858278390770826,2020-04-17T11:47:51Z,2020-04-23T15:17:07Z
LA,1,25.551687009922297,2.5278987764720866,0.6709183001155936,0.4407671619429241,10.877478250004986,1.7342804698891534,4.789447767989639,1.0233174386946022,7.12459953433006,1.6139682257052952,1.0397923344797724,0.5995521404655141,2.4433401428822847,0.8446785260644116,66.86339536493348,2.7166024593967872,73.70263533021262,2.611828628735282,79.76176170988388,2.3567734776778817,51.32474025036786,2.9666398709173,28.879766167115665,2.6363829133497276,4.495509901820325,1.0528211084607877,1.9351353628639922,1.1173663710982786,0.10662083615020843,0.10669915009806992,2020-04-17T11:50:51Z,2020-04-24T11:57:59Z
MA,1,24.221294865748753,2.380335378590476,1.0418282361804205,0.5100679792817154,6.733117555366253,1.3321540482932992,5.087488364730579,1.1940977963446342,3.6556663402535965,0.8116569067657321,0.5045841363238865,0.30324629876914677,1.8557997345458674,0.7040086995764931,72.81192585346881,2.6306653106772435,76.63536376657859,2.4439892840199833,83.72307192104985,1.794159616205874,66.70302233124156,2.691991394895226,21.538459583894944,2.390716567660888,6.512112419216014,1.4749696162698172,0.7805389720919176,0.35783065015007637,0.1743649298418348,0.12392094694637858,2020-04-17T12:52:39Z,2020-04-27T21:03:17Z
