wave,end_date,deaths,hosps,cases,avoid_contact,avoid_crowds,wash_hands,wear_mask,work,gym,friend,cafe,doctor,church,transit,room,room_5_10,room_11_50,room_50_plus,date_num
16,2021-02-28,72211,626967,2395404,49.82729715742992,57.29591646355725,71.12081681626728,79.93943968576038,35.25117354616597,7.175778519489934,15.17203093833433,15.441292238439493,11.44443338781483,6.105967532932248,3.381378833382944,41.84456805679,9.322835568295693,4.231012259471161,1.9917943109714449,18686
gap16_17,2021-03-31,35509,450708,1847569,46.94079576607985,54.44738087642753,70.11827570776295,79.39520655246456,36.95133020784845,8.243213364098352,16.7598013771686,17.98447994331214,12.04134237073127,6.96166689116617,3.5265172350307648,44.77518076359725,10.277443275455155,4.683796825705059,2.359828084590497,18717
interpolation,2021-04-30,23905,479799,1859445,43.07989277891772,50.47146436273057,68.81605085879394,75.9657598155054,37.581589250038746,9.308672979324433,18.985667513781618,20.358685649254458,12.19031808313733,7.760617896311341,3.7467401346852776,47.706647966492255,11.438572018154789,5.133540120564283,2.712217880547475,18747
interpolation,2021-05-31,17770,323226,910959,37.04817093960985,44.39137259453853,66.69554436086591,65.3668138969953,38.02384488838008,10.709440825065103,21.79594955597539,22.92434178891038,12.948364877811322,8.579037786307584,4.2692939504578975,50.381596858688475,12.600050274281507,5.767749373048593,3.091317780850962,18778
interpolation,2021-06-30,10261,180687,358022,31.09998467783164,38.49991172233821,64.57797998136378,52.46033378177397,38.2037725256994,11.979373858897317,24.307515482188165,25.015689671938635,13.888424144981236,9.250592760632635,4.8895643561029845,52.27211271106428,13.489449797612863,6.409031712615867,3.418919611534677,18808
interpolation,2021-07-31,8584,379338,1369763,30.24313280420956,37.910336877951295,64.30549376275927,48.49741538077802,37.99837062588997,12.11414046545182,24.65588422437664,25.32289783830492,13.975061090829437,9.491196068014649,5.1533672234716645,52.476451660313536,13.594922067632904,6.704455376268219,3.561148803333073,18839
interpolation,2021-08-31,26497,1038006,4270416,34.544922013412894,42.66660288588359,65.9050997982399,53.97152642843733,37.46165230446554,11.106715099289904,22.81883035439715,23.84883916098756,13.17910324188908,9.288779692980697,5.030340420980006,51.05784182445138,12.927446205767533,6.650995771538279,3.5173547609636966,18870
interpolation,2021-09-30,57378,910404,4125300,36.09039452932333,44.389816279421034,66.54301309020364,57.09098666839829,37.6911598923896,10.715831553094052,22.027921052712397,23.386248247805906,12.702302769846977,9.193937184254148,4.896215326356681,51.202738039704165,12.78607199969642,6.939520750306727,3.6184660879859383,18900
interpolation,2021-10-31,47633,565815,2468745,32.30013930479244,40.35556797126428,65.30240281743082,54.08600713652061,39.08098003815042,11.510871959486265,23.323345875688577,24.85168429896293,12.916788734706625,9.386614757434067,4.867913981257901,54.01170757478803,13.603281164773035,7.828682880461523,3.9853942345086097,18931
interpolation,2021-11-30,33147,517218,2581650,29.137604427908222,36.96282898968558,64.01865347163448,51.44033108126721,39.18715683835589,11.8548293659795,24.25879888781448,25.205939581730735,12.827213776504538,9.423624180806469,4.7271525340525935,55.68651860836405,14.190723048087724,8.18095509602558,4.152963390061787,18961
interpolation,2021-12-31,45268,846690,6079941,32.08794424346619,40.09944851171525,64.35546598554738,55.24051020114997,35.67898000628741,10.193323147199164,22.54343290560987,21.54570340983894,11.452885723989713,8.879686778992214,4.246476678980594,52.7386772202565,13.456328401308337,6.946698476266174,3.693992443768485,18992
interpolation,2022-01-31,60219,1778214,20094831,33.97056144727701,42.041845316023405,64.37797779999491,57.09074588581312,33.43675789426141,9.081235297003529,21.167281551314943,19.19415947377291,10.81225253653962,8.646372591657936,4.02098219563343,50.343786064426745,12.783320462208188,6.212448964693832,3.534639069921899,19023
interpolation,2022-02-28,63236,686301,3919493,29.794333856129555,37.43660443870669,62.7824235806235,51.319407999714485,35.817574739508764,10.293776747258631,22.273273144113784,21.820278019756422,12.231160348773445,9.308296168932818,4.436621663838506,52.21883922128577,13.184553181639956,7.405010872568998,4.280592920386476,19051
interpolation,2022-03-31,32292,208977,1050509,23.049647484170332,29.986212892792818,60.42854493081034,41.761522616121994,40.036672885899456,12.456693097707186,24.602884154847324,26.638275245004856,14.42771925654356,10.30234974165888,5.131224452154846,55.92448728669753,14.106343544635465,9.370665335334524,5.364164712195933,19082
interpolation,2022-04-30,13331,151419,1190548,20.200035963143257,26.624899830146372,59.1521146717478,36.04955217034014,41.34609090622917,13.209624078293745,25.98520213580567,28.783891720328235,15.081937163270174,10.59337557159223,5.4412070024317805,57.38369090555015,14.63025831033246,10.054786797169651,5.708430601441633,19112
interpolation,2022-05-31,10475,300129,2744205,20.944483975871655,27.023430474697136,58.84541580941403,33.73753314668859,39.94442168136367,12.64773627898292,26.517324702776857,28.4682862684183,14.290262080534244,10.228999905651596,5.400131328836876,56.76634120498971,14.79492536108949,9.542681211640218,5.36412486654866,19143
interpolation,2022-06-30,10728,405144,3220058,22.06750417312223,28.035814327889504,58.81349696772935,32.55290929841085,38.84893164676604,12.05810666714389,26.59889555259994,27.803224482522133,13.49806218160218,9.945526106358503,5.3654355965236915,56.177541327524345,14.80646772404769,8.96406043808908,5.062683825610473,19173
