Wave,Start_date,End_date,state,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours,Start_Date,End_Date,N_national,N_state
1,4/16/2020,4/30/2020,NV,23.54,0.33,6.04,4.7,5.95,0.89,3.29,67.24,78.32,86.52,54.83,20.12,4.24,1.13,1.15,04/16/2020 UTC,04/30/2020,19489.0,435.0
1_gap,5/1/2020,5/1/2020,NV,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,NV,24.56,0.37,8.47,6.51,6.91,1.13,4.54,61.75,69.71,80.93,61.15,27.9,5.21,1.09,1.64,05/02/2020 UTC,05/15/2020,20305.0,394.0
3,5/16/2020,6/1/2020,NV,28.6,0.89,10.88,6.93,7.67,0.75,3.3,57.52,68.54,81.07,68.18,30.61,5.58,1.88,0.52,05/16/2020 UTC,06/01/2020,18103.0,282.0
3_gap,6/2/2020,6/11/2020,NV,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,NV,31.07,6.34,14.43,18.7,9.17,1.76,5.52,49.56,57.7,78.06,63.23,39.47,10.61,3.44,2.29,06/12/2020 UTC,06/28/2020,22470.0,392.0
5_gap,6/29/2020,7/9/2020,NV,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,NV,29.94,5.23,17.25,13.84,10.13,2.22,4.32,48.74,58.09,74.51,80.6,45.97,12.42,5.71,3.77,07/10/2020 UTC,07/27/2020,19058.0,433.0
7_gap,7/28/2020,8/6/2020,NV,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,NV,41.52,6.4,16.32,15.84,9.88,1.75,4.67,47.37,56.69,81.48,84.92,41.01,11.31,4.81,2.56,08/07/2020 UTC,08/26/2020,21196.0,436.0
9_gap,8/27/2020,9/2/2020,NV,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,NV,38.28,8.52,17.09,15.21,7.56,1.14,4.35,47.59,61.49,75.67,83.43,46.64,10.02,3.14,1.36,09/04/2020 UTC,09/28/2020,20315.0,302.0
10_gap,9/29/2020,10/1/2020,NV,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,NV,35.97,6.38,17.0,21.23,11.43,2.8,7.7,47.47,52.95,75.28,78.8,44.37,10.86,3.79,3.95,10/02/2020 UTC,11/04/2020,27342.0,495.0
13,11/4/2020,12/1/2020,NV,32.75,9.59,12.63,13.72,11.5,3.44,4.43,49.73,56.98,72.71,81.9,38.15,8.73,4.62,1.57,11/03/2020 UTC,12/01/2020,24017.0,458.0
13_gap,12/2/2020,12/15/2020,NV,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,NV,30.71,8.16,14.03,11.58,8.64,2.29,4.48,54.27,62.69,75.07,84.09,36.55,6.54,4.37,2.78,12/16/2020 UTC,01/11/2021,25640.0,487.0
14_gap,1/12/2021,2/4/2021,NV,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,NV,35.49,7.18,13.66,16.41,9.41,3.1,3.2,54.73,55.32,77.15,84.91,39.81,10.89,2.8,3.56,02/05/2021 UTC,03/01/2021,21500.0,391.0
17,4/1/2021,5/3/2021,NV,37.37,11.39,13.92,24.4,9.29,4.16,5.61,45.33,46.28,71.82,76.81,43.59,7.64,7.72,2.24,04/01/2021 UTC,05/03/2021,21733.0,344.0
17_gap,5/4/2021,6/8/2021,NV,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,NV,40.29,16.06,18.69,26.33,9.47,7.97,7.06,23.35,31.11,59.33,47.58,48.7,13.22,6.16,6.1,06/09/2021 UTC,07/06/2021,20669.0,465.0
18_gap,7/7/2021,8/25/2021,NV,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,NV,33.65,9.17,19.1,29.5,9.4,4.69,6.39,40.88,46.43,65.85,69.79,49.0,10.96,8.51,4.23,08/26/2021 UTC,09/27/2021,21079.0,410.0
19_gap,9/28/2021,11/2/2021,NV,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,NV,37.01,13.31,23.17,31.17,13.78,7.24,6.75,30.12,36.91,70.6,61.97,55.65,14.19,7.76,6.05,11/03/2021 UTC,12/02/2021,22277.0,356.0
20_gap,12/3/2021,12/21/2021,NV,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,NV,30.99,13.69,18.53,19.3,7.44,5.78,4.97,36.32,42.77,64.1,73.18,47.94,12.62,6.45,3.54,12/22/2021 UTC,01/24/2022,22961.0,424.0
21_gap,1/25/2022,3/1/2022,NV,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,NV,40.42,11.02,23.69,22.45,10.05,4.86,4.01,24.05,28.44,59.57,38.96,51.09,11.91,8.52,3.02,03/02/2022 UTC,04/04/2022,22234.0,389.0
22_gap,4/5/2022,6/7/2022,NV,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,NV,35.68,10.74,27.65,26.76,10.98,7.5,4.43,24.27,29.44,61.15,33.01,56.91,15.5,9.98,7.0,06/08/2022 UTC,07/06/2022,24141.0,439.0
1,4/16/2020,4/30/2020,NH,28.11,0.28,6.3,5.61,3.03,0.07,0.38,67.09,77.32,81.82,53.98,28.86,5.71,3.35,0.62,04/16/2020 UTC,04/30/2020,19489.0,352.0
1_gap,5/1/2020,5/1/2020,NH,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,NH,25.58,1.66,7.68,6.04,4.63,0.0,0.0,63.06,73.32,79.51,58.74,29.26,4.5,2.11,1.79,05/02/2020 UTC,05/15/2020,20305.0,370.0
3,5/16/2020,6/1/2020,NH,23.68,0.51,12.28,7.84,4.08,0.59,0.99,60.97,75.64,77.71,66.32,31.97,5.93,2.77,0.71,05/16/2020 UTC,06/01/2020,18103.0,351.0
3_gap,6/2/2020,6/11/2020,NH,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,NH,32.68,2.87,19.4,12.22,10.52,2.01,0.45,47.55,58.79,75.69,65.86,37.29,7.18,3.49,1.02,06/12/2020 UTC,06/28/2020,22470.0,370.0
5_gap,6/29/2020,7/9/2020,NH,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,NH,29.72,6.95,14.82,14.06,8.37,1.53,1.28,53.52,65.13,73.5,73.83,36.99,8.17,2.81,2.36,07/10/2020 UTC,07/27/2020,19058.0,315.0
7_gap,7/28/2020,8/6/2020,NH,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,NH,38.78,8.35,18.71,14.11,14.64,2.52,1.38,37.99,57.87,65.97,69.23,53.36,17.01,3.52,0.0,08/07/2020 UTC,08/26/2020,21196.0,202.0
9_gap,8/27/2020,9/2/2020,NH,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,NH,30.93,4.65,18.59,16.86,10.1,3.48,1.28,42.39,55.17,70.51,66.86,48.35,11.23,3.51,1.27,09/04/2020 UTC,09/28/2020,20315.0,273.0
10_gap,9/29/2020,10/1/2020,NH,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,NH,42.15,9.3,19.39,19.55,14.62,1.93,2.48,41.76,55.3,68.17,74.9,51.99,10.22,8.22,0.91,10/02/2020 UTC,11/04/2020,27342.0,370.0
13,11/4/2020,12/1/2020,NH,36.98,7.24,14.09,18.42,12.03,3.35,0.78,43.94,56.02,65.14,79.24,44.15,13.17,2.34,1.01,11/03/2020 UTC,12/01/2020,24017.0,389.0
13_gap,12/2/2020,12/15/2020,NH,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,NH,30.92,6.7,10.91,9.41,8.41,2.71,1.02,53.28,64.66,71.21,83.82,37.26,6.9,3.08,1.1,12/16/2020 UTC,01/11/2021,25640.0,567.0
14_gap,1/12/2021,2/4/2021,NH,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,NH,37.76,7.04,13.56,10.74,11.29,3.08,1.32,43.33,53.97,66.39,77.24,37.65,7.44,4.72,1.19,02/05/2021 UTC,03/01/2021,21500.0,331.0
17,4/1/2021,5/3/2021,NH,38.7,5.58,14.78,17.62,16.08,4.41,2.55,38.78,48.93,63.12,78.8,43.4,10.8,4.88,2.37,04/01/2021 UTC,05/03/2021,21733.0,456.0
17_gap,5/4/2021,6/8/2021,NH,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,NH,33.97,10.88,25.08,21.22,11.08,3.9,1.59,21.48,33.44,60.32,41.45,56.05,14.04,6.25,3.51,06/09/2021 UTC,07/06/2021,20669.0,358.0
18_gap,7/7/2021,8/25/2021,NH,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,NH,37.75,8.9,23.49,24.61,13.66,3.55,0.17,29.17,42.79,66.19,50.69,54.51,15.1,7.5,3.37,08/26/2021 UTC,09/27/2021,21079.0,299.0
19_gap,9/28/2021,11/2/2021,NH,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,NH,41.67,16.12,22.34,24.26,11.43,5.7,1.45,23.35,29.77,54.52,42.87,57.57,15.21,6.53,2.35,11/03/2021 UTC,12/02/2021,22277.0,299.0
20_gap,12/3/2021,12/21/2021,NH,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,NH,37.88,8.81,21.86,21.13,10.18,7.83,1.45,31.85,46.81,65.09,62.55,49.02,14.19,5.02,2.96,12/22/2021 UTC,01/24/2022,22961.0,327.0
21_gap,1/25/2022,3/1/2022,NH,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,NH,45.99,15.23,25.65,25.37,9.73,3.92,1.84,17.17,25.05,54.27,27.65,64.04,18.16,9.86,4.6,03/02/2022 UTC,04/04/2022,22234.0,368.0
22_gap,4/5/2022,6/7/2022,NH,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,NH,33.61,9.05,28.49,28.31,13.28,6.59,1.3,21.02,28.4,57.82,32.49,55.93,17.06,9.27,4.32,06/08/2022 UTC,07/06/2022,24141.0,382.0
1,4/16/2020,4/30/2020,NJ,19.17,0.67,7.61,4.88,6.11,0.31,1.07,78.0,83.54,82.9,78.25,20.4,4.89,1.27,0.16,04/16/2020 UTC,04/30/2020,19489.0,474.0
1_gap,5/1/2020,5/1/2020,NJ,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,NJ,23.56,0.73,6.76,6.05,3.08,0.67,1.95,68.18,76.0,81.18,80.0,25.26,3.92,1.14,1.43,05/02/2020 UTC,05/15/2020,20305.0,541.0
3,5/16/2020,6/1/2020,NJ,26.51,0.99,10.77,3.29,6.06,1.28,2.71,63.38,73.54,80.17,77.89,29.33,4.81,0.99,1.57,05/16/2020 UTC,06/01/2020,18103.0,526.0
3_gap,6/2/2020,6/11/2020,NJ,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,NJ,31.43,3.13,15.31,9.5,8.18,2.14,3.58,60.7,70.71,78.6,80.82,34.8,7.8,2.14,1.86,06/12/2020 UTC,06/28/2020,22470.0,498.0
5_gap,6/29/2020,7/9/2020,NJ,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,NJ,28.25,3.01,13.6,6.85,6.57,1.85,3.89,59.58,66.5,77.83,82.21,34.89,5.15,4.26,1.2,07/10/2020 UTC,07/27/2020,19058.0,391.0
7_gap,7/28/2020,8/6/2020,NJ,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,NJ,33.68,1.88,20.06,10.23,10.51,4.7,3.92,55.72,70.81,78.1,81.93,38.28,9.92,2.17,0.88,08/07/2020 UTC,08/26/2020,21196.0,513.0
9_gap,8/27/2020,9/2/2020,NJ,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,NJ,35.02,4.42,14.84,14.88,10.57,3.85,3.2,54.4,66.64,79.87,83.7,39.53,7.97,4.21,0.83,09/04/2020 UTC,09/28/2020,20315.0,469.0
10_gap,9/29/2020,10/1/2020,NJ,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,NJ,38.69,8.17,13.63,13.45,12.25,5.34,4.98,51.15,66.72,77.84,81.79,42.5,11.04,3.38,1.08,10/02/2020 UTC,11/04/2020,27342.0,618.0
13,11/4/2020,12/1/2020,NJ,35.45,10.28,21.02,11.67,12.7,6.32,4.86,50.78,60.37,74.98,80.8,40.37,8.88,1.7,1.25,11/03/2020 UTC,12/01/2020,24017.0,478.0
13_gap,12/2/2020,12/15/2020,NJ,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,NJ,31.0,6.52,12.69,9.16,8.49,5.36,4.5,57.79,66.29,71.25,83.68,35.77,8.3,1.05,1.05,12/16/2020 UTC,01/11/2021,25640.0,466.0
14_gap,1/12/2021,2/4/2021,NJ,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,NJ,39.2,8.57,12.36,12.99,12.88,5.93,5.77,54.91,61.36,73.05,85.42,35.8,6.89,2.67,0.92,02/05/2021 UTC,03/01/2021,21500.0,432.0
17,4/1/2021,5/3/2021,NJ,32.71,9.51,13.96,15.9,8.41,7.57,4.8,54.98,58.55,70.64,82.68,36.79,7.38,2.52,2.5,04/01/2021 UTC,05/03/2021,21733.0,459.0
17_gap,5/4/2021,6/8/2021,NJ,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,NJ,31.25,11.04,22.53,25.62,12.93,7.04,8.22,34.25,40.79,64.31,60.8,50.89,8.14,7.89,3.01,06/09/2021 UTC,07/06/2021,20669.0,412.0
18_gap,7/7/2021,8/25/2021,NJ,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,NJ,35.87,10.32,22.05,24.05,13.32,9.89,6.77,33.94,41.81,65.58,56.36,52.66,10.52,8.35,2.56,08/26/2021 UTC,09/27/2021,21079.0,426.0
19_gap,9/28/2021,11/2/2021,NJ,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,NJ,38.63,13.11,23.98,25.05,12.93,11.24,7.31,28.39,39.42,61.71,52.88,60.56,11.85,8.63,4.5,11/03/2021 UTC,12/02/2021,22277.0,567.0
20_gap,12/3/2021,12/21/2021,NJ,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,NJ,34.62,8.64,14.39,16.27,11.85,7.79,4.64,41.96,55.63,67.09,72.41,41.08,12.43,4.88,2.36,12/22/2021 UTC,01/24/2022,22961.0,499.0
21_gap,1/25/2022,3/1/2022,NJ,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,NJ,43.96,13.11,22.88,27.38,14.29,7.07,6.72,27.19,33.04,58.02,47.21,56.59,13.74,10.1,6.4,03/02/2022 UTC,04/04/2022,22234.0,461.0
22_gap,4/5/2022,6/7/2022,NJ,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,NJ,38.7,15.13,25.58,26.93,13.04,7.21,8.13,24.22,27.23,59.06,38.86,55.88,13.04,8.66,5.12,06/08/2022 UTC,07/06/2022,24141.0,515.0
1,4/16/2020,4/30/2020,NM,33.78,3.7,15.84,10.81,2.51,7.03,0.86,53.8,75.76,84.91,42.08,35.5,16.28,0.97,0.37,04/16/2020 UTC,04/30/2020,19489.0,121.0
1_gap,5/1/2020,5/1/2020,NM,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,NM,35.33,0.0,8.63,5.46,5.32,0.36,0.51,51.52,66.71,71.02,52.48,25.22,6.06,1.36,1.33,05/02/2020 UTC,05/15/2020,20305.0,211.0
3,5/16/2020,6/1/2020,NM,15.57,0.73,13.86,5.97,16.65,0.61,0.42,53.38,66.18,74.2,62.99,29.6,10.69,0.19,0.32,05/16/2020 UTC,06/01/2020,18103.0,161.0
3_gap,6/2/2020,6/11/2020,NM,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,NM,30.65,9.19,20.68,16.12,18.21,8.36,1.14,43.15,59.98,71.94,66.73,42.37,6.78,5.45,1.92,06/12/2020 UTC,06/28/2020,22470.0,308.0
5_gap,6/29/2020,7/9/2020,NM,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,NM,26.35,9.47,12.81,7.53,13.59,6.87,0.26,55.26,61.57,73.47,80.55,42.31,12.56,5.77,2.27,07/10/2020 UTC,07/27/2020,19058.0,334.0
7_gap,7/28/2020,8/6/2020,NM,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,NM,38.08,5.69,17.26,12.51,10.04,5.03,2.5,49.1,65.43,70.72,81.37,41.26,12.02,2.5,1.48,08/07/2020 UTC,08/26/2020,21196.0,313.0
9_gap,8/27/2020,9/2/2020,NM,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,NM,36.2,5.34,16.78,14.07,13.84,6.16,3.87,51.78,56.77,72.6,79.88,42.6,9.88,2.4,2.12,09/04/2020 UTC,09/28/2020,20315.0,319.0
10_gap,9/29/2020,10/1/2020,NM,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,NM,36.56,5.74,16.98,15.03,11.79,5.84,1.23,45.37,53.31,70.96,77.4,39.43,8.9,3.43,2.01,10/02/2020 UTC,11/04/2020,27342.0,355.0
13,11/4/2020,12/1/2020,NM,37.62,3.5,13.56,10.33,8.94,4.16,0.86,55.18,57.33,72.18,80.81,34.81,7.67,4.43,0.54,11/03/2020 UTC,12/01/2020,24017.0,378.0
13_gap,12/2/2020,12/15/2020,NM,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,NM,33.19,5.85,16.19,6.07,9.08,3.19,1.68,56.74,61.84,75.13,81.19,36.86,6.74,1.35,1.82,12/16/2020 UTC,01/11/2021,25640.0,483.0
14_gap,1/12/2021,2/4/2021,NM,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,NM,33.7,8.12,10.45,13.63,13.56,4.03,0.88,48.9,55.44,69.65,78.29,40.86,8.11,2.73,2.42,02/05/2021 UTC,03/01/2021,21500.0,348.0
17,4/1/2021,5/3/2021,NM,36.99,8.62,19.13,21.95,10.26,9.07,2.56,37.68,47.07,67.67,78.12,47.88,11.21,4.31,1.83,04/01/2021 UTC,05/03/2021,21733.0,449.0
17_gap,5/4/2021,6/8/2021,NM,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,NM,35.2,7.68,19.7,20.15,14.12,7.72,5.28,25.83,37.94,64.77,50.5,48.9,14.9,6.85,3.43,06/09/2021 UTC,07/06/2021,20669.0,356.0
18_gap,7/7/2021,8/25/2021,NM,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,NM,35.12,6.56,16.84,22.37,11.59,8.49,2.4,36.2,44.0,70.26,65.63,49.68,11.14,7.22,2.19,08/26/2021 UTC,09/27/2021,21079.0,399.0
19_gap,9/28/2021,11/2/2021,NM,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,NM,35.03,7.75,19.82,14.96,15.42,6.3,3.59,35.04,43.89,70.13,68.03,54.5,15.63,6.08,4.0,11/03/2021 UTC,12/02/2021,22277.0,323.0
20_gap,12/3/2021,12/21/2021,NM,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,NM,32.81,7.08,18.8,18.49,11.26,6.34,0.81,41.81,45.84,66.92,67.52,47.19,11.14,4.68,1.73,12/22/2021 UTC,01/24/2022,22961.0,400.0
21_gap,1/25/2022,3/1/2022,NM,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,NM,37.64,11.1,27.14,22.84,19.78,8.52,3.3,25.86,30.6,65.93,41.32,53.46,17.57,8.87,3.09,03/02/2022 UTC,04/04/2022,22234.0,354.0
22_gap,4/5/2022,6/7/2022,NM,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,NM,31.22,12.2,24.76,25.01,13.59,10.19,5.5,24.8,29.58,59.33,29.34,58.32,15.78,9.85,3.99,06/08/2022 UTC,07/06/2022,24141.0,415.0
1,4/16/2020,4/30/2020,NY,12.32,0.38,3.09,2.83,4.83,1.32,2.37,79.04,80.17,83.16,75.46,20.94,3.14,1.7,0.4,04/16/2020 UTC,04/30/2020,19489.0,541.0
1_gap,5/1/2020,5/1/2020,NY,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,NY,17.1,1.18,5.92,3.46,3.18,1.04,3.12,74.52,76.27,81.65,82.3,20.44,4.63,1.15,0.29,05/02/2020 UTC,05/15/2020,20305.0,620.0
3,5/16/2020,6/1/2020,NY,21.56,1.68,9.9,3.09,8.26,1.01,4.56,68.41,71.79,78.98,80.56,28.18,4.7,1.37,0.68,05/16/2020 UTC,06/01/2020,18103.0,615.0
3_gap,6/2/2020,6/11/2020,NY,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,NY,24.85,3.16,13.74,8.1,11.58,3.53,8.71,61.03,70.36,77.17,78.97,33.98,9.41,1.61,0.56,06/12/2020 UTC,06/28/2020,22470.0,654.0
5_gap,6/29/2020,7/9/2020,NY,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,NY,25.15,3.93,10.98,8.68,9.43,5.18,6.16,63.8,75.13,78.92,86.89,37.93,8.2,2.28,1.21,07/10/2020 UTC,07/27/2020,19058.0,462.0
7_gap,7/28/2020,8/6/2020,NY,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,NY,32.28,3.85,16.38,10.68,11.44,5.73,9.24,57.69,67.78,75.75,80.52,38.05,8.5,2.8,0.87,08/07/2020 UTC,08/26/2020,21196.0,617.0
9_gap,8/27/2020,9/2/2020,NY,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,NY,34.9,5.23,14.75,13.79,11.78,4.9,10.19,50.35,63.02,75.36,79.67,38.61,10.17,2.24,2.27,09/04/2020 UTC,09/28/2020,20315.0,687.0
10_gap,9/29/2020,10/1/2020,NY,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,NY,37.28,8.46,15.87,12.98,13.83,6.64,9.26,52.46,61.94,75.48,80.83,42.03,9.29,3.23,2.19,10/02/2020 UTC,11/04/2020,27342.0,846.0
13,11/4/2020,12/1/2020,NY,33.05,7.64,14.66,14.48,11.22,6.48,9.89,52.38,57.8,74.09,84.2,40.99,11.48,3.97,1.21,11/03/2020 UTC,12/01/2020,24017.0,715.0
13_gap,12/2/2020,12/15/2020,NY,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,NY,27.23,6.7,13.23,9.41,10.84,4.14,7.78,58.33,65.59,75.45,86.19,38.91,9.15,2.36,0.79,12/16/2020 UTC,01/11/2021,25640.0,523.0
14_gap,1/12/2021,2/4/2021,NY,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,NY,35.37,8.5,12.02,10.99,13.22,8.18,8.97,52.89,64.79,72.91,83.58,38.24,10.44,2.17,0.67,02/05/2021 UTC,03/01/2021,21500.0,563.0
17,4/1/2021,5/3/2021,NY,31.25,7.83,15.85,12.4,10.57,5.37,8.21,50.88,51.83,71.15,80.7,41.73,10.57,3.53,1.45,04/01/2021 UTC,05/03/2021,21733.0,702.0
17_gap,5/4/2021,6/8/2021,NY,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,NY,33.91,12.93,22.55,16.52,10.83,7.5,12.42,38.27,46.18,70.09,61.46,50.33,12.46,5.35,2.02,06/09/2021 UTC,07/06/2021,20669.0,643.0
18_gap,7/7/2021,8/25/2021,NY,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,NY,35.48,10.29,21.23,18.03,9.27,8.4,12.53,34.89,48.93,64.24,61.24,50.55,12.7,5.82,2.54,08/26/2021 UTC,09/27/2021,21079.0,781.0
19_gap,9/28/2021,11/2/2021,NY,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,NY,37.8,10.83,21.25,23.18,12.89,9.33,14.59,35.08,42.16,67.56,59.53,52.21,13.95,4.82,3.49,11/03/2021 UTC,12/02/2021,22277.0,964.0
20_gap,12/3/2021,12/21/2021,NY,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,NY,29.98,8.26,17.78,12.08,9.84,6.25,11.96,43.04,52.93,69.01,78.82,49.04,14.01,3.97,1.76,12/22/2021 UTC,01/24/2022,22961.0,963.0
21_gap,1/25/2022,3/1/2022,NY,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,NY,36.01,11.42,19.37,22.05,11.78,9.17,12.72,23.75,32.13,62.57,48.35,54.13,12.32,8.07,4.13,03/02/2022 UTC,04/04/2022,22234.0,734.0
22_gap,4/5/2022,6/7/2022,NY,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,NY,36.84,12.01,25.1,23.66,13.34,8.48,14.07,28.69,34.39,62.08,45.33,52.67,12.35,8.93,4.57,06/08/2022 UTC,07/06/2022,24141.0,921.0
1,4/16/2020,4/30/2020,NC,27.15,0.37,6.31,6.51,6.97,0.82,0.61,68.93,72.23,82.04,43.45,23.2,3.57,2.46,0.32,04/16/2020 UTC,04/30/2020,19489.0,450.0
1_gap,5/1/2020,5/1/2020,NC,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,NC,23.37,0.76,10.38,7.44,7.9,1.41,1.22,55.36,67.48,74.35,55.27,31.7,8.2,2.7,0.73,05/02/2020 UTC,05/15/2020,20305.0,525.0
3,5/16/2020,6/1/2020,NC,22.05,1.01,8.33,10.41,10.54,4.2,1.49,58.62,67.9,82.44,54.76,32.79,6.63,3.74,0.66,05/16/2020 UTC,06/01/2020,18103.0,511.0
3_gap,6/2/2020,6/11/2020,NC,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,NC,31.77,2.91,21.79,15.79,12.29,8.2,2.12,48.8,59.05,67.15,53.41,41.99,10.27,4.82,1.74,06/12/2020 UTC,06/28/2020,22470.0,540.0
5_gap,6/29/2020,7/9/2020,NC,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,NC,30.17,1.91,18.5,13.53,11.76,8.72,1.5,54.54,66.25,77.89,77.58,35.39,8.53,2.72,0.87,07/10/2020 UTC,07/27/2020,19058.0,429.0
7_gap,7/28/2020,8/6/2020,NC,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,NC,30.55,2.62,15.1,14.29,8.12,6.99,0.47,52.09,63.26,75.56,78.33,40.75,12.73,4.45,1.05,08/07/2020 UTC,08/26/2020,21196.0,521.0
9_gap,8/27/2020,9/2/2020,NC,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,NC,38.71,6.02,17.9,13.68,11.86,8.03,2.1,47.29,55.06,76.56,74.04,44.9,13.34,4.41,1.17,09/04/2020 UTC,09/28/2020,20315.0,504.0
10_gap,9/29/2020,10/1/2020,NC,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,NC,33.92,5.86,17.63,15.01,11.69,7.72,1.7,49.95,58.54,75.01,72.6,41.7,8.91,4.97,1.4,10/02/2020 UTC,11/04/2020,27342.0,703.0
13,11/4/2020,12/1/2020,NC,33.85,7.57,17.08,16.68,13.15,6.83,1.19,49.07,55.48,70.98,75.9,39.86,10.48,3.88,0.84,11/03/2020 UTC,12/01/2020,24017.0,568.0
13_gap,12/2/2020,12/15/2020,NC,,,,,,,,,,,,,,,,,,,
