mnth_yr,state_code,monthly_hospitalization
2021-09,NY,8756.0
2021-09,OH,14625.0
2021-09,OK,7620.0
2021-09,OR,3105.0
2021-09,PA,8554.0
2021-09,PR,431.0
2021-09,RI,339.0
2021-09,Region 1,5160.0
2021-09,Region 10,10701.0
2021-09,Region 2,13341.0
2021-09,Region 3,22129.0
2021-09,Region 4,98949.0
2021-09,Region 5,44608.0
2021-09,Region 6,55215.0
2021-09,Region 7,11556.0
2021-09,Region 8,11559.0
2021-09,Region 9,30250.0
2021-09,SC,8079.0
2021-09,SD,830.0
2021-09,TN,9747.0
2021-09,TX,38631.0
2021-09,USA,303468.0
2021-09,UT,2365.0
2021-09,VA,6283.0
2021-09,VI,20.0
2021-09,VT,256.0
2021-09,WA,4358.0
2021-09,WI,6296.0
2021-09,WV,3035.0
2021-09,WY,895.0
2021-10,AK,760.0
2021-10,AL,2343.0
2021-10,AR,1584.0
2021-10,AS,0.0
2021-10,AZ,5615.0
2021-10,CA,12747.0
2021-10,CO,5452.0
2021-10,CT,938.0
2021-10,DC,267.0
2021-10,DE,705.0
2021-10,FL,10663.0
2021-10,GA,6321.0
2021-10,GU,920.0
2021-10,HI,312.0
2021-10,IA,2321.0
2021-10,ID,1883.0
2021-10,IL,4833.0
2021-10,IN,4949.0
2021-10,KS,1903.0
2021-10,KY,4623.0
2021-10,LA,1453.0
2021-10,MA,1862.0
2021-10,MD,2434.0
2021-10,ME,638.0
2021-10,MI,7982.0
2021-10,MN,3497.0
2021-10,MO,2886.0
2021-10,MP,0.0
2021-10,MS,954.0
2021-10,MT,3058.0
2021-10,NC,5336.0
2021-10,ND,1006.0
2021-10,NE,1446.0
2021-10,NH,673.0
2021-10,NJ,3115.0
2021-10,NM,1745.0
2021-10,NV,2290.0
2021-10,NY,8039.0
2021-10,OH,11856.0
2021-10,OK,3930.0
2021-10,OR,1758.0
2021-10,PA,10196.0
2021-10,PR,137.0
2021-10,RI,241.0
2021-10,Region 1,4590.0
2021-10,Region 10,7571.0
2021-10,Region 2,11306.0
2021-10,Region 3,20020.0
2021-10,Region 4,37050.0
2021-10,Region 5,38516.0
2021-10,Region 6,25346.0
2021-10,Region 7,8556.0
2021-10,Region 8,13766.0
2021-10,Region 9,21884.0
2021-10,SC,2910.0
2021-10,SD,839.0
2021-10,TN,3900.0
2021-10,TX,16634.0
2021-10,USA,188605.0
2021-10,UT,2365.0
2021-10,VA,4150.0
2021-10,VI,15.0
2021-10,VT,238.0
2021-10,WA,3170.0
2021-10,WI,5399.0
2021-10,WV,2268.0
2021-10,WY,1046.0
2021-11,AK,443.0
2021-11,AL,1200.0
2021-11,AR,1107.0
2021-11,AS,0.0
2021-11,AZ,7894.0
2021-11,CA,10996.0
2021-11,CO,6903.0
2021-11,CT,1129.0
2021-11,DC,187.0
2021-11,DE,603.0
2021-11,FL,5546.0
2021-11,GA,3611.0
2021-11,GU,542.0
2021-11,HI,168.0
2021-11,IA,2425.0
2021-11,ID,1055.0
2021-11,IL,6264.0
2021-11,IN,5906.0
2021-11,KS,2183.0
2021-11,KY,3481.0
2021-11,LA,874.0
2021-11,MA,2456.0
2021-11,MD,2176.0
2021-11,ME,931.0
2021-11,MI,12513.0
2021-11,MN,4598.0
2021-11,MO,3282.0
2021-11,MP,3.0
2021-11,MS,543.0
2021-11,MT,1757.0
2021-11,NC,3417.0
2021-11,ND,812.0
2021-11,NE,1768.0
2021-11,NH,1120.0
2021-11,NJ,3132.0
2021-11,NM,2134.0
2021-11,NV,2076.0
2021-11,NY,9276.0
2021-11,OH,12344.0
2021-11,OK,2427.0
2021-11,OR,1361.0
2021-11,PA,10635.0
2021-11,PR,133.0
2021-11,RI,339.0
2021-11,Region 1,6292.0
2021-11,Region 10,5245.0
2021-11,Region 2,12551.0
2021-11,Region 3,17986.0
2021-11,Region 4,21610.0
2021-11,Region 5,47748.0
2021-11,Region 6,16248.0
2021-11,Region 7,9658.0
2021-11,Region 8,13389.0
2021-11,Region 9,21679.0
2021-11,SC,1495.0
2021-11,SD,1002.0
2021-11,TN,2317.0
2021-11,TX,9706.0
2021-11,USA,172406.0
2021-11,UT,2258.0
2021-11,VA,2754.0
2021-11,VI,10.0
2021-11,VT,317.0
2021-11,WA,2386.0
2021-11,WI,6123.0
2021-11,WV,1631.0
2021-11,WY,657.0
2021-12,AK,243.0
2021-12,AL,2164.0
2021-12,AR,2134.0
2021-12,AS,0.0
2021-12,AZ,8764.0
2021-12,CA,14908.0
2021-12,CO,5806.0
