Wave,End_Date,state,Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours,Total_N,new_ind
interpolation,2020-10-15,WV,44.94734394926551,58.886870483039075,73.66837763666057,66.52954166844579,37.337853317408424,3.5830916417479943,19.996105382457475,11.96486203277152,11.885938047372187,6.888957607840729,0.8576350494098998,43.475059540834955,10.035074996782326,6.555536671454441,1.7817876933351586,,22
11,2020-10-23,WV,43.68562358961951,58.00314121301644,73.28840734461289,66.14924988920349,38.34952641823491,4.508171873997525,22.314837011916342,13.137659793909448,11.04892788794068,6.689968376283916,0.7478641012590268,43.73336029269231,9.072705349140664,7.384651241351654,1.620086334455006,415.0,23
interpolation,2020-10-31,WV,42.862230300909644,57.439337866482745,72.36615251887433,67.42199412286153,36.6385540740636,4.0027397430653995,20.53757124587714,15.001721075949986,10.034126470462125,6.495996199552567,0.4542005517406492,43.572784247174795,8.263251512513865,6.983705777409475,1.7050663058309614,,24
12,2020-11-14,WV,44.63488107590693,57.8975863070396,71.40841175747981,71.88227112026453,32.61219322402572,2.1003145919486386,13.948983931244593,15.725544598261797,10.115734418743404,5.960903619092823,0.1042477519349295,43.461651458090486,8.125534879080949,4.550438958494796,1.9924772263816763,333.0,25
interpolation,2020-11-15,WV,45.06902351031759,58.04791095121032,71.50914254889004,72.18756845622003,32.66041232213087,2.0844362228244484,13.755101626193413,15.35971242933427,10.371891247777478,5.898624596724831,0.1296589699351973,43.54437675781133,8.241696697937451,4.378219795618539,1.9879410651070477,,26
13,2020-11-30,WV,54.22388384440675,61.29054951506989,74.71480594168537,76.39373523461434,36.87556663891061,3.2721408393742566,14.391326740240643,5.957062961128965,16.340770270029683,4.764428374817196,1.0220292787911711,45.30553221464082,11.039891108388463,2.1674650436937606,1.602594637569267,438.0,27
gap13_14,2020-12-15,WV,57.527711997296635,62.20933614663652,75.92475811762151,79.84603292158364,37.318432120814315,4.058432538793533,15.415135533338088,2.923371367348447,17.195199185584453,4.144646870405717,1.3499038941122028,43.51785270879103,11.261751661800664,1.721064075633252,1.159767345710419,,28
interpolation,2020-12-31,WV,54.45182023141034,60.52098408813692,74.67937506339273,82.56964386672098,33.13327604388651,4.038242513574249,15.819167563927632,7.221235373235057,12.418639503789556,4.0376579885125405,0.998460890019825,38.15747488687322,8.67481766337404,2.834676689526803,0.7615479150968141,,29
14,2021-01-12,WV,52.86383644410542,59.32145558144728,73.80045493504278,83.6461068271496,30.83733189938035,3.9115978941329046,15.892201699036889,9.832461096211231,9.560115640534402,3.837432986257068,0.8358248791571496,35.37508791094729,7.224686167725814,3.238478593260687,0.6052089736336588,452.0,30
interpolation,2021-01-15,WV,52.653699570730204,59.063222225405475,73.61904970622214,83.78028757053275,30.446010441727648,3.873211625571186,15.883778318344312,10.303530338266023,9.022312566617044,3.762662777778205,0.818736620117153,34.90771273096957,6.969721204204537,3.2553277502480125,0.5867931752369039,,31
interpolation,2021-01-31,WV,52.79530643115358,57.967338243664585,72.91046049013684,83.58435733515145,29.59296337549205,3.62305298068156,15.658602465787256,11.588163954524155,7.348600153202545,3.196931816865192,0.8868327069572649,33.95680855902483,6.3365890600642985,2.777038788410887,0.628205735756128,,32
gap14_16,2021-02-04,WV,53.16290205461677,57.767409507128185,72.80144616970101,83.29549033768565,29.704438637331094,3.5485575617678067,15.554873988034851,11.58623402314113,7.244532746553682,3.0115631514547263,0.9457602729795986,34.12480974093421,6.369537864723956,2.507953092047346,0.6753036527197721,,33
interpolation,2021-02-15,WV,53.77257007524631,57.10539942800474,72.5437733881255,82.34110509087738,30.194839856132756,3.405758346341604,15.441116710283202,11.467988757932229,7.316359481314826,2.7182834860707454,1.1576121051752835,35.213427929878335,6.744591211296141,1.8554715897863985,0.8322731405310234,,34
16,2021-02-28,WV,52.71720153113577,55.86279811324181,72.22674632743623,81.22409870065196,30.66704439437038,3.43555296133439,15.883144711032385,11.632890895864977,7.806340367363977,3.0685849441382187,1.4678580689281524,37.48803165529521,7.622722991879289,1.6204949209614572,1.0244294288778484,420.0,35
interpolation,2021-03-15,WV,49.10493469114257,53.80853698607766,71.84375764034432,79.95113054072092,31.065619003442578,3.7375329185125294,17.170163808182874,12.23526021506582,8.915975313859246,4.412027746754661,1.9063038476003433,41.441890107412355,9.220979941980707,2.0725201253876295,1.2549215927073194,,36
gap16_17,2021-03-31,WV,42.42401954604841,50.88455552623843,71.4149378900762,78.61205769907318,31.318019340081054,4.3756695666707355,19.46056857643505,13.36445515627701,10.742345693197025,6.954241524353008,2.4690101892750285,47.229197654533266,11.616677532476308,3.4086885731487193,1.511140832490266,,37
interpolation,2021-04-15,WV,35.54688144521653,47.86801696173968,70.96470893721171,76.9286581096414,31.46986235617885,5.083783124394882,21.860463141555147,14.71115010469733,12.644577320153912,9.402833295033485,2.9710216995816245,52.70877616015698,13.981979766693858,4.888604694412318,1.7755344840916532,,38
interpolation,2021-04-30,WV,30.77127650461258,45.129717429280525,70.42921660731636,74.24147666419563,31.64175565922256,5.6515753766509125,23.700954368368514,16.114117326397356,14.18481777040461,10.62509623932526,3.296683982084787,56.3647829725032,15.7636903630894,5.829830971668046,2.082487147165723,,39
17,2021-05-03,WV,30.069586828957647,44.61569824676337,70.3118686704151,73.58331373227992,31.67858759936316,5.748181140221212,24.00155221602527,16.40136047848165,14.449174320543184,10.721792665184497,3.3405843575132965,56.87628771257926,16.04967799166791,5.9530824002175144,2.1489936232434856,410.0,40
